Actinobaculum	Actinomyces	Adlercreutzia	Aggregatibacter	Aminobacterium	Anaerococcus	Anaeroglobus	Anaerovorax	Arabia	Asaccharobacter	Atopobium	Blautia	Brachymonas	Butyrivibrio	Campylobacter	Candidatus Kryptonium	Candidatus Methanomethylophilus	Capnocytophaga	Cardiobacterium	Catonella	Cloacibacillus	Collinsella	Denitrobacterium	Desulfobulbus	Dialister	Dorea	Eggerthella	Eggerthia	Eikenella	Emergencia	Enterorhabdus	Eubacterium	Filifactor	Fusobacterium	Gemella	Gordonibacter	Johnsonella	Jonquetella	Lachnoanaerobaculum	Leptotrichia	Methanobrevibacter	Mogibacterium	Olsenella	Oribacterium	Ottowia	Paraeggerthella	Parvimonas	Peptoanaerobacter	Peptoniphilus	Peptostreptococcus	Phocaeicola	Porphyromonas	Prevotella	Pseudomonas	Pseudopropionibacterium	Pseudoramibacter	Raoultibacter	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Schaalia	Selenomonas	Senegalimassilia	Shuttleworthia	Slackia	Solobacterium	Streptobacillus	Streptococcus	Streptomyces	Tannerella	Thermanaerovibrio	Treponema	Veillonella
1	644778	1	11849	608	649	1	602	379	1	1390	557	506	698	37480	818	2576	30584	15507	21062	1569	2676	1	94833	1227	643	1108	7196	5345	683	400	11505	9186	46330	22135	1323	25393	1278	2420	32811	184461	17925	257249	1691	1541	609	67816	10518	4763	1012	8350	21641	80516	3249	62383	616	474	390	1075	593	1330	79489	47848	1	320	3433	1711	669	85554	3349	71413	1085	57783	6243
1	315416	1	1	711	3041	1	1867	724	1	2710	1080	1	1191	5027	1296	5054	1	1	5677	857	728	1	91001	629	548	1940	9603	1	1841	488	4397	10742	13075	1012	2559	2200	2665	1371	702	1715543	10681	42653	2090	1	1	10003	10726	10813	811	42616	14168	4575	3236	4067	74912	665	654	1	1122	2429	20210	1031	1	822	1929	1077	1539	14567	3298	155504	1197	107086	1029
1	331453	1	1	934	3086	1	2128	940	1	1237	1234	1	1445	2603	1687	3949	1	1	5750	1222	921	1	67402	564	591	2628	10516	1	2073	709	4831	9759	5767	841	3397	1848	2784	1431	582	1898074	9900	31437	2081	1	523	5391	11421	11255	964	39472	28250	4971	2882	18157	73173	832	755	1	1370	2871	8946	1359	1	878	2645	1167	1437	13590	4507	209184	1680	99592	604
1	476156	1	1	858	2343	1	2115	1239	1	1418	1200	1	1456	2936	441	2281	1	1	5559	1045	1063	1	74629	523	610	3327	10419	1	2248	957	4742	6691	4049	769	4636	1365	2894	1121	510	1243941	11256	51044	2019	1	783	5232	9217	10533	817	23703	23640	2247	3174	11145	104959	1071	736	1	1441	2811	23069	1253	1	678	2932	970	1017	11099	12689	83003	1543	86664	579
352	1185641	1	1	371	676	1	537	1	1	1278	412	1	503	6004	837	2146	2026	1	1721	530	1099	1	28474	1090	1	545	3336	1	581	1	1806	4313	2251	1	783	776	1097	437	789	144454	3607	307292	982	24378	1	3675	3394	2962	1	32731	3494	2711	7542	24590	57663	1	1	371	499	1055	15741	2912	1	1	1733	1	1	13460	106520	30707	697	50972	1
1079	1390739	1	1	768	1686	1	770	712	1	1213	597	1	644	9101	2682	10499	1244	1	3067	1507	1630	1	118664	1	1	2082	4703	1	980	1	2790	5282	4485	756	2727	1946	1510	773	1	1468723	4811	320194	1472	1	1052	4322	4857	4640	589	33321	13311	1573	2364	21083	164226	616	1	1	880	1402	790	2447	1	1	4334	1	1	9288	13468	45856	1870	86059	1
628	759453	1	1	677	1141	1	1218	1643	1	799	859	1	925	10418	1	1473	1643	633	4101	791	1510	1	148358	1	1	4543	7044	1153	1720	1122	3492	6045	8065	605	6125	2847	1679	752	673	1300936	7072	154740	2245	1	2424	6894	5370	5930	762	113883	31961	2967	2931	98037	211348	1517	611	1	857	1941	22962	3686	1	575	4928	685	1	13893	4434	78703	1400	89461	1
842	149929	1	1	1	4522	739	1262	482	1	1090	1097	1	1357	3080	816	950	707	1	4130	1	756	1	86395	1140	904	1637	15722	1	507	1	9974	4660	7793	5826	1723	4264	1	2511	2187	1	16312	55449	5111	1	1	11537	16028	16258	596	44661	14743	5612	5400	1	650874	563	845	1	1167	2150	1771	1206	1	496	7928	1825	3990	13459	3284	528562	1	31233	1372
1	531461	1115	1	1	3039	2596	1	3620	1008	10124	619	1	855	1294	3079	1	1	1	1226	1	3758	1367	69922	605	1	12597	6829	1	1	2646	3738	2249	4202	1902	13664	2260	1	1	1674	1	30736	198766	1962	1	3263	16565	4989	5718	1086	45212	3025	4698	13744	29764	383506	4138	1	1	1	1210	13626	1050	1174	776	25914	711	1799	18779	10289	185283	1	26955	582
1	149289	1671	1	1	2048	1	1	5510	1537	1604	520	409	573	3716	2021	1768	1	1	1662	1	4751	2033	225292	1	400	17781	6659	1	358	4479	2987	4393	3947	1748	20155	5231	444	811	718	10525	5241	89783	1190	476	4122	4425	5091	5602	1	19536	5637	2125	5982	6769	255455	6359	1	1	573	1256	1625	1022	1901	492	11189	749	2344	9821	4659	251911	1	22521	499
443	257505	2072	1	1	1040	350	458	6652	1901	1655	527	1	518	5420	6500	1207	1	1	1954	1	5155	2477	240112	1	1	20425	3796	1	347	5372	2233	2446	2917	1490	24170	2055	1	483	896	1826	3388	170652	1209	1	4685	2458	2915	3145	803	30773	2657	2234	4698	1	421992	7602	351	1	360	1123	2760	965	2254	1	14129	391	1529	4710	12917	33579	1	36213	1116
