Species
Hyphomicrobium denitrificans
Hyphomicrobium nitrativorans
Hyphomicrobium sp. 99
Hyphomicrobium sp. MC1
Hyphomicrobium sulfonivorans
Hyphomicrobium zavarzinii
Immundisolibacter cernigliae
Inquilinus limosus
Insolitispirillum peregrinum
Intrasporangiaceae bacterium URHB0013
Intrasporangium calvum
Isoptericola variabilis
Isosphaera pallida
Janibacter indicus
Janibacter massiliensis
Janibacter melonis
Janibacter sp. HTCC2649
Jannaschia rubra
Janthinobacterium agaricidamnosum
Janthinobacterium lividum
Janthinobacterium sp. 1_2014MBL_MicDiv
Janthinobacterium sp. CG3
Janthinobacterium sp. TND4EL3
Jeongeupia sp. USM3
Jhaorihella thermophila
Jiangella alba
Jiangella alkaliphila
Jiangella gansuensis
Jiangella muralis
Jiangella sp. DSM 45060
Kaistia adipata
Kaistia soli
Kibdelosporangium aridum
Kibdelosporangium phytohabitans
Kibdelosporangium sp. MJ126-NF4
Kineococcus radiotolerans
Kineosporia sp. R_H_3
Kiritimatiella glycovorans
Kitasatospora cheerisanensis
Kitasatospora setae
Kitasatospora sp. CB01950
Kitasatospora sp. MBT63
Kitasatospora sp. MBT66
Kitasatospora sp. MMS16-BH015
Kitasatospora sp. Root107
Kitasatospora sp. SolWspMP-SS2h
Klebsiella michiganensis
Klebsiella pneumoniae
Kocuria palustris
Kocuria sp. UCD-OTCP
Kocuria turfanensis
Krasilnikoviella flava
Kribbella flavida
Ktedonobacter racemifer
Kushneria aurantia
Kutzneria albida
Kutzneria sp. 744
Kytococcus sedentarius
Kytococcus sp. CUA-901
Lactobacillus crispatus
Lactobacillus iners
Lactobacillus manihotivorans
Lactobacillus parabuchneri
Lactococcus lactis
Lacunisphaera limnophila
Lamprocystis purpurea
Laribacter hongkongensis
Lautropia mirabilis
Lawsonella clevelandensis
Lechevalieria fradiae
Lechevalieria xinjiangensis
Legionella pneumophila
Legionella spiritensis
Leifsonia aquatica
Leifsonia sp. 21MFCrub1.1
Leifsonia xyli
Lentzea aerocolonigenes
Lentzea albida
Lentzea flaviverrucosa
Lentzea guizhouensis
Lentzea jiangxiensis
