#Datasets	EXB037.A3001.unmapped	EXB037.A3201.unmapped	EXB037.A3401.unmapped	LIB030.A0115.unmapped	EXB037.A3101.unmapped	LIB027.A0136.unmapped	LIB030.A0112.unmapped	LIB030.A0113.unmapped	LIB030.A0114.unmapped	EXB037.A2901.unmapped	EXB037.A3301.unmapped
"Luteipulveratus"	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mobilicoccus"	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Arsenicicoccus"	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Intrasporangium"	0.0	0.0	12.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Janibacter"	107.0	198.0	128.0	97.0	477.0	0.0	155.0	0.0	0.0	53.0	365.0
"Ornithinimicrobium"	59.0	257.0	16.0	46.0	500.0	0.0	105.0	0.0	0.0	0.0	147.0
"Phycicoccus"	0.0	65.0	43.0	114.0	130.0	0.0	40.0	0.0	0.0	0.0	169.0
"Serinicoccus"	0.0	118.0	14.0	77.0	322.0	0.0	28.0	0.0	0.0	0.0	128.0
"Terrabacter"	0.0	0.0	19.0	20.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Terracoccus"	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tetrasphaera"	0.0	64.0	41.0	56.0	153.0	0.0	36.0	7.0	0.0	0.0	135.0
"Agrococcus"	78.0	204.0	72.0	0.0	518.0	0.0	14.0	11.0	0.0	0.0	67.0
"Agromyces"	0.0	41.0	0.0	15.0	142.0	0.0	0.0	8.0	23.0	0.0	0.0
"Aurantimicrobium"	0.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0
"Clavibacter"	0.0	142.0	11.0	0.0	334.0	0.0	57.0	11.0	37.0	0.0	0.0
"Cnuibacter"	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cryobacterium"	0.0	78.0	12.0	39.0	131.0	0.0	11.0	12.0	21.0	0.0	0.0
"Cryocola"	0.0	0.0	0.0	0.0	103.0	0.0	16.0	0.0	0.0	0.0	0.0
"Curtobacterium"	92.0	98.0	49.0	44.0	271.0	0.0	173.0	14.0	52.0	75.0	159.0
"Frigoribacterium"	0.0	21.0	0.0	10.0	164.0	0.0	54.0	6.0	0.0	0.0	67.0
"Frondihabitans"	0.0	0.0	0.0	0.0	0.0	1.0	40.0	0.0	0.0	0.0	0.0
"Herbiconiux"	0.0	25.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
"Leifsonia"	348.0	195.0	95.0	30.0	557.0	0.0	45.0	120.0	83.0	185.0	342.0
"Leucobacter"	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0
"Rhodoluna"	0.0	79.0	0.0	0.0	513.0	0.0	10.0	14.0	68.0	0.0	0.0
"Microbacterium"	2026.0	1235.0	605.0	326.0	7606.0	0.0	841.0	184.0	535.0	803.0	1912.0
"Microterricola"	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mycetocola"	0.0	38.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
"Plantibacter"	0.0	51.0	0.0	0.0	134.0	0.0	13.0	0.0	0.0	0.0	0.0
"Pseudoclavibacter"	0.0	53.0	11.0	0.0	231.0	0.0	26.0	0.0	0.0	0.0	0.0
"Rathayibacter"	64.0	62.0	26.0	58.0	298.0	0.0	108.0	20.0	82.0	54.0	240.0
"Salinibacterium"	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Yonghaparkia"	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Arthrobacter"	260.0	916.0	284.0	227.0	1648.0	0.0	202.0	53.0	238.0	226.0	541.0
"Glutamicibacter"	0.0	27.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0
"Kocuria"	491.0	1591.0	1640.0	192.0	2651.0	0.0	289.0	19.0	143.0	288.0	989.0
