Species
Leifsonia sp. 21MFCrub1.1
Leifsonia sp. 509MF
Leifsonia sp. Root112D2
Leifsonia xyli
Leisingera sp. ANG-Vp
Lentilactobacillus parabuchneri
Lentzea aerocolonigenes
Lentzea albida
Lentzea albidocapillata
Lentzea flaviverrucosa
Lentzea guizhouensis
Lentzea jiangxiensis
Lentzea kentuckyensis
Lentzea violacea
Lentzea waywayandensis
Leptothrix cholodnii
Leuconostoc carnosum
Leuconostoc mesenteroides
Levilactobacillus brevis
Levyella massiliensis
Limimonas halophila
Limnochorda pilosa
Limnohabitans sp. 103DPR2
Limnohabitans sp. 63ED37-2
Limnohabitans sp. Rim47
Limosilactobacillus reuteri
Loktanella fryxellensis
Longispora albida
Luteibacter sp. 22Crub2.1
Luteibacter sp. UNCMF331Sha3.1
Luteimonas abyssi
Luteimonas mephitis
Luteimonas sp. J29
Luteipulveratus mongoliensis
Luteitalea pratensis
Lutibacter maritimus
Lutibacter profundi
Lysinimicrobium aestuarii
Lysinimicrobium rhizosphaerae
Lysobacter antibioticus
Lysobacter capsici
Lysobacter defluvii
Lysobacter enzymogenes
Lysobacter gummosus
Lysobacter maris
Lysobacter sp. URHA0019
Lysobacter sp. yr284
Macromonas bipunctata
Maricaulis maris
Marinactinospora thermotolerans
marine actinobacterium PHSC20C1
Marmoricola ginsengisoli
Marmoricola scoriae
Marmoricola solisilvae
Marmoricola sp. Leaf446
Marmoricola sp. URHB0036
Martelella mediterranea
Massilia alkalitolerans
Massilia armeniaca
Massilia aurea
Massilia namucuonensis
Massilia niastensis
Massilia oculi
Massilia putida
Massilia sp. BSC265
Massilia sp. KIM
Massilia sp. NR 4-1
Massilia sp. PDC64
Massilia sp. Root335
Massilia sp. Root418
Massilia sp. WG5
Massilia sp. YMA4
Massilia timonae
Massilia violaceinigra
Massilia yuzhufengensis
Mastigocladus laminosus
Megasphaera micronuciformis
Meiothermus cerbereus
Meiothermus ruber
Meiothermus taiwanensis
Melaminivora alkalimesophila
Melaminivora sp. SC2-9
Melittangium boletus
Mesorhizobium amorphae
Mesorhizobium australicum
Mesorhizobium ciceri
Mesorhizobium erdmanii
Mesorhizobium loti
Mesorhizobium muleiense
Mesorhizobium oceanicum
Mesorhizobium opportunistum
Mesorhizobium plurifarium
Mesorhizobium prunaredense
Mesorhizobium qingshengii
Mesorhizobium sp. 1M-11
Mesorhizobium sp. ORS 3324
Mesorhizobium sp. ORS 3359
Mesorhizobium sp. Root157
Mesorhizobium sp. Root172
Mesorhizobium sp. Root552
Mesorhizobium sp. SOD10
Mesorhizobium sp. URHA0056
Mesorhizobium sp. URHC0008
Mesorhizobium sp. WSM2561
Mesorhizobium sp. WSM3224
Mesorhizobium sp. WSM3626
Metallibacterium scheffleri
Methanosarcina mazei
Methylibium petroleiphilum
Methylibium sp. CF059
Methylibium sp. CF468
Methylibium sp. YR605
Methylobacter tundripaludum
Methylobacterium brachiatum
Methylobacterium currus
Methylobacterium nodulans
Methylobacterium organophilum
Methylobacterium oryzae
Methylobacterium phyllostachyos
Methylobacterium platani
Methylobacterium pseudosasicola
Methylobacterium radiotolerans
Methylobacterium sp. 174MFSha1.1
Methylobacterium sp. 4-46
Methylobacterium sp. 77
Methylobacterium sp. AMS5
Methylobacterium sp. ap11
Methylobacterium sp. B34
Methylobacterium sp. B4
Methylobacterium sp. DM1
Methylobacterium sp. Leaf117
Methylobacterium sp. Leaf125
Methylobacterium sp. Leaf361
Methylobacterium sp. Leaf399
Methylobacterium sp. Leaf86
Methylobacterium sp. Leaf90
Methylobacterium sp. Leaf93
