Species	otago	okla	jena
Nocardiopsis sp. TSRI0078	1	1	1
Nodosilinea nodulosa	1	1	1
Nonomuraea candida	1	1	1
Nonomuraea coxensis	1	1	1
Nonomuraea indica	1	1	1
Nonomuraea jiangxiensis	1	1	1
Nonomuraea maritima	1	1	1
Nonomuraea pusilla	1	1	1
Nonomuraea solani	1	1	1
Nonomuraea sp. ATCC 55076	1	1	1
Nonomuraea sp. SBT364	1	1	1
Nonomuraea wenchangensis	1	1	1
Nostoc linckia	1	1	1
Noviherbaspirillum denitrificans	1	1	1
Noviherbaspirillum humi	1	1	1
Noviherbaspirillum massiliense	1	1	1
Noviherbaspirillum sp. Root189	1	1	1
Novosphingobium aromaticivorans	1	1	1
Novosphingobium fuchskuhlense	1	1	1
Novosphingobium panipatense	1	1	1
Novosphingobium pentaromativorans		1	
Novosphingobium resinovorum	1	1	1
Novosphingobium sp. B 225		1	
Novosphingobium sp. B-7		1	1
Novosphingobium sp. B3058		1	
Novosphingobium sp. FSW06-99		1	
Novosphingobium sp. MBES04	1	1	1
Novosphingobium sp. P6W		1	
Novosphingobium sp. THN1	1	1	1
Oceanicaulis sp. HTCC2633	1	1	1
Oceanicella actignis	1	1	1
Oceanicella sp. SM1341	1	1	1
Oceanicola granulosus	1	1	1
Oceanithermus profundus	1	1	1
Ochrobactrum anthropi			1
Ochrobactrum cytisi			1
Ochrobactrum intermedium		1	1
Ochrobactrum pituitosum			1
Ochrobactrum pseudogrignonense			1
Ochrobactrum quorumnocens			1
Ochrobactrum sp. DDT2			1
Ochrobactrum sp. MYb19			1
Ohtaekwangia koreensis	1	1	1
Oleiagrimonas soli	1	1	1
Oligotropha carboxidovorans	1	1	1
Olsenella provencensis	1	1	
Olsenella sp. SIT9	1	1	
Olsenella timonensis		1	
Opitutaceae bacterium TAV1	1	1	1
Opitutaceae bacterium TAV4		1	1
Opitutaceae bacterium TAV5	1	1	1
Opitutaceae bacterium TSB47	1	1	1
Opitutus sp. GAS368	1	1	1
Opitutus terrae	1	1	1
Ornithinimicrobium pekingense	1	1	1
Ornithinimicrobium sp. CNJ-824	1	1	1
Orrella dioscoreae	1	1	1
Oscillatoria nigro-viridis		1	1
Oscillochloris trichoides	1	1	1
Ottowia oryzae		1	1
Ottowia sp. Marseille-P4747			1
Ottowia thiooxydans		1	
Oxalobacteraceae bacterium AB_14	1	1	1
Paenarthrobacter nicotinovorans		1	1
Paenibacillus ginsengihumi	1	1	1
Paenibacillus mucilaginosus	1	1	1
Paenibacillus pasadenensis	1	1	1
Paenibacillus sp. UNC496MF	1	1	1
Paludibacterium yongneupense	1	1	1
Paludisphaera borealis	1	1	1
Pandoraea apista	1	1	1
Pandoraea faecigallinarum	1	1	1
Pandoraea norimbergensis	1	1	1
Pandoraea oxalativorans	1	1	1
Pandoraea pnomenusa	1	1	1
Pandoraea pulmonicola	1	1	1
Pandoraea sp. B-6		1	
Pandoraea sputorum	1	1	1
Pandoraea thiooxydans	1	1	1
Pandoraea vervacti	1	1	1
Pannonibacter phragmitetus	1	1	1
Pantoea agglomerans		1	1
Parabacteroides merdae		1	
Paraburkholderia aromaticivorans		1	1
Paraburkholderia aspalathi	1	1	1
Paraburkholderia bryophila	1	1	1
Paraburkholderia caballeronis	1	1	1
Paraburkholderia caffeinilytica	1	1	1
Paraburkholderia caribensis	1	1	1
Paraburkholderia diazotrophica	1	1	1
Paraburkholderia dilworthii		1	1
Paraburkholderia eburnea	1	1	1
Paraburkholderia fungorum		1	1
Paraburkholderia hospita	1	1	1
Paraburkholderia kururiensis	1	1	1
Paraburkholderia mimosarum	1	1	1
Paraburkholderia nodosa	1	1	1
Paraburkholderia phenazinium	1	1	1
Paraburkholderia phymatum	1	1	1
Paraburkholderia phytofirmans	1	1	1
Paraburkholderia piptadeniae	1	1	1
Paraburkholderia ribeironis	1	1	1
Paraburkholderia sartisoli	1	1	1
Paraburkholderia silvatlantica	1	1	1
Paraburkholderia sp. BL18I3N2	1	1	1
Paraburkholderia sp. JPY251	1	1	1
Paraburkholderia sp. SOS3	1	1	1
Paraburkholderia sprentiae	1	1	1
Paraburkholderia susongensis	1	1	1
Paraburkholderia tropica	1	1	1
Paraburkholderia tuberum	1	1	1
Paraburkholderia unamae	1	1	1
Paraburkholderia xenovorans	1	1	1
Parachlamydia acanthamoebae	1	1	1
Parachlamydia sp. C2	1	1	1
Paracoccus alcaliphilus			1
Paracoccus aminovorans	1	1	1
Paracoccus contaminans			1
Paracoccus denitrificans	1	1	1
Paracoccus halophilus			1
Paracoccus jeotgali		1	1
Paracoccus pantotrophus	1	1	1
Paracoccus saliphilus		1	1
Paracoccus sp. 228		1	1
Paracoccus tibetensis	1	1	1
Paracoccus versutus			1
Paracoccus yeei	1	1	1
Paracoccus zhejiangensis			1
Pararheinheimera texasensis		1	1
Pararhodospirillum photometricum	1	1	1
Parvibaculum lavamentivorans	1	1	1
Pasteurella multocida		1	
Patulibacter minatonensis	1	1	1
Paucibacter sp. KCTC 42545	1	1	1
Pectobacterium carotovorum	1	1	1
Pediococcus acidilactici		1	1
Pedobacter nutrimenti			1
Pelagibaca abyssi	1	1	1
Pelagibacterium luteolum			1
Pelobacter acetylenicus	1	1	1
Pelobacter propionicus	1	1	1
Pelomonas sp. Root1217	1	1	1
Pelomonas sp. Root1237	1	1	1
Pelomonas sp. Root1444	1	1	1
Pelomonas sp. Root662	1	1	1
Phaeobacter inhibens		1	1
Phaeospirillum fulvum	1	1	1
Phenylobacterium sp. Root700	1	1	1
Phenylobacterium zucineum	1	1	1
Phreatobacter cathodiphilus	1	1	1
Phycicoccus cremeus	1	1	1
Phycicoccus dokdonensis	1	1	1
Phycicoccus sp. Root563	1	1	1
Phycicoccus sp. Soil748	1	1	1
Phycicoccus sp. Soil803	1	1	1
Phycisphaera mikurensis	1	1	1
Phyllobacteriaceae bacterium	1	1	1
Phyllobacterium myrsinacearum		1	1
Phyllobacterium zundukense	1	1	1
Phytobacter ursingii			1
Pimelobacter simplex	1	1	1
Pirellula staleyi	1	1	1
Piscinibacter caeni	1	1	1
Piscirickettsia salmonis	1	1	1
Planctomyces sp. SH-PL14	1	1	1
Planctomyces sp. SH-PL62	1	1	1
Planifilum fimeticola	1	1	1
Planifilum fulgidum	1	1	1
Planobispora rosea	1	1	1
Planococcus citreus		1	
Planococcus sp. MB-3u-03		1	
Plantactinospora sp. BB1	1	1	1
Plantactinospora sp. BC1		1	1
Plantactinospora sp. KBS50	1	1	1
Plasticicumulans acidivorans	1	1	1
Pleomorphomonas koreensis	1	1	1
Pleomorphomonas oryzae	1	1	1
Pluralibacter gergoviae	1	1	1
Polaromonas glacialis	1	1	1
Polaromonas naphthalenivorans	1	1	1
Polaromonas sp. JS666	1	1	1
Polaromonas sp. YR568	1	1	1
Polymorphum gilvum	1	1	1
Polynucleobacter asymbioticus		1	
Polynucleobacter difficilis		1	1
Polynucleobacter duraquae		1	1
Polynucleobacter necessarius	1	1	1
Polynucleobacter sinensis			1
Polynucleobacter wuianus		1	1
Polynucleobacter yangtzensis		1	1
Pontibacter roseus	1	1	1
Pontibacter ummariensis	1	1	1
Porphyrobacter colymbi	1	1	1
Porphyrobacter cryptus		1	
Porphyrobacter neustonensis		1	
Porphyrobacter sp. CACIAM 03H1	1	1	1
Porphyrobacter sp. LM 6		1	
Prauserella marina	1	1	1
Prauserella sp. PE36	1	1	1
Prevotella copri	1	1	1
Prevotella denticola		1	
Prevotella micans		1	
Prevotella timonensis			1
Promicromonospora kroppenstedtii	1	1	1
Propionibacterium acidifaciens		1	
Propionibacterium sp. KPL1844			1
Propionicicella superfundia	1	1	1
Propionivibrio dicarboxylicus	1	1	1
Prosthecobacter debontii		1	1
Prosthecomicrobium hirschii	1	1	1
Providencia rettgeri			1
Pseudacidovorax intermedius	1	1	1
Pseudaminobacter salicylatoxidans	1	1	1
Pseudochrobactrum asaccharolyticum			1
Pseudoclavibacter faecalis		1	
Pseudodesulfovibrio aespoeensis	1	1	1
Pseudodesulfovibrio indicus	1	1	1
Pseudoduganella violaceinigra	1	1	1
Pseudogracilibacillus auburnensis	1	1	1
Pseudogulbenkiania ferrooxidans	1	1	1
Pseudogulbenkiania sp. NH8B	1	1	1
Pseudogulbenkiania subflava	1	1	1
Pseudohaliea rubra	1	1	1
Pseudolabrys sp. Root1462	1	1	1
Pseudolabrys taiwanensis	1	1	1
Pseudomonas aeruginosa	1	1	1
Pseudomonas alcaligenes		1	1
Pseudomonas alcaliphila		1	
Pseudomonas amygdali		1	1
Pseudomonas antarctica			1
Pseudomonas azotifigens	1	1	1
Pseudomonas azotoformans	1	1	1
Pseudomonas balearica	1	1	1
Pseudomonas benzenivorans	1	1	1
Pseudomonas borbori	1	1	1
Pseudomonas canadensis			1
Pseudomonas chlororaphis	1	1	1
Pseudomonas cichorii	1	1	1
Pseudomonas citronellolis	1	1	1
Pseudomonas coronafaciens	1	1	1
Pseudomonas corrugata	1		
Pseudomonas extremaustralis			1
Pseudomonas flavescens	1	1	1
Pseudomonas flexibilis	1	1	1
Pseudomonas fluorescens	1	1	1
Pseudomonas formosensis	1	1	1
Pseudomonas fragi		1	1
Pseudomonas fuscovaginae	1	1	1
Pseudomonas guangdongensis	1	1	1
Pseudomonas guariconensis		1	1
Pseudomonas indica	1	1	1
Pseudomonas jinjuensis	1	1	1
Pseudomonas knackmussii	1	1	1
Pseudomonas kuykendallii	1	1	1
Pseudomonas linyingensis	1	1	1
Pseudomonas marginalis	1		1
Pseudomonas mendocina	1	1	1
Pseudomonas monteilii	1	1	1
Pseudomonas mosselii	1		
Pseudomonas nitroreducens	1	1	1
Pseudomonas oleovorans			1
Pseudomonas oryzae	1	1	1
Pseudomonas panipatensis	1	1	1
Pseudomonas parafulva	1	1	1
Pseudomonas peli		1	
Pseudomonas pharmafabricae	1		
Pseudomonas plecoglossicida	1	1	1
Pseudomonas poae			1
Pseudomonas psychrotolerans	1	1	1
Pseudomonas putida	1	1	1
Pseudomonas resinovorans	1	1	1
Pseudomonas sagittaria	1	1	1
Pseudomonas sp. 21	1	1	1
Pseudomonas sp. 24 E 13		1	1
Pseudomonas sp. ATCC 13867	1	1	1
Pseudomonas sp. BMS12	1		
Pseudomonas sp. EpS/L25	1	1	1
Pseudomonas sp. FDAARGOS_380			1
Pseudomonas sp. HMSC066A08			1
Pseudomonas sp. LFM046	1	1	1
Pseudomonas sp. MYb185	1	1	1
Pseudomonas sp. NC02		1	1
Pseudomonas sp. NS1(2017)			1
Pseudomonas sp. phDV1		1	1
Pseudomonas sp. Root9			1
Pseudomonas sp. S09G 359			1
Pseudomonas sp. TCU-HL1	1	1	1
Pseudomonas sp. TKP			1
Pseudomonas sp. TMW 2.1634		1	1
Pseudomonas stutzeri	1	1	1
Pseudomonas synxantha	1		1
Pseudomonas syringae	1	1	1
Pseudomonas syringae group genomosp. 3	1	1	1
Pseudomonas thermotolerans	1	1	1
Pseudomonas tolaasii	1		1
Pseudomonas veronii	1		
Pseudomonas xanthomarina	1	1	1
Pseudomonas yamanorum		1	1
Pseudonocardia acaciae	1	1	1
Pseudonocardia ammonioxydans	1	1	1
Pseudonocardia asaccharolytica	1	1	1
Pseudonocardia autotrophica		1	
Pseudonocardia dioxanivorans	1	1	1
Pseudonocardia oroxyli	1	1	1
Pseudonocardia sp. AL041005-10		1	
Pseudonocardia sp. CNS-139	1	1	1
Pseudonocardia sp. HH130630-07	1	1	1
Pseudonocardia sp. MH-G8	1	1	1
Pseudonocardia sp. N23	1	1	1
Pseudonocardia spinosispora	1	1	1
Pseudorhodoferax soli	1	1	1
Pseudorhodoferax sp. Leaf274	1	1	1
Pseudorhodoplanes sinuspersici	1	1	1
Pseudoroseicyclus aestuarii	1	1	1
Pseudosporangium ferrugineum	1	1	1
Pseudoxanthobacter soli	1	1	1
Pseudoxanthomonas sp. CF125	1	1	1
Pseudoxanthomonas sp. J31	1	1	1
Pseudoxanthomonas sp. J35	1	1	1
Pseudoxanthomonas sp. Root630	1	1	1
Pseudoxanthomonas sp. Root65	1	1	1
Pseudoxanthomonas spadix	1	1	1
Pseudoxanthomonas suwonensis	1	1	1
Pseudoxanthomonas wuyuanensis	1	1	1
Psychrobacillus sp. FJAT-21963	1	1	1
Psychrobacter sp. SHUES1		1	1
Pulveribacter suum	1	1	1
Pusillimonas noertemannii	1	1	1
Raineyella antarctica	1	1	1
Ralstonia insidiosa	1	1	1
Ralstonia mannitolilytica	1	1	1
Ralstonia pickettii	1	1	1
Ralstonia solanacearum	1	1	1
Ralstonia sp. 25mfcol4.1	1	1	1
Ralstonia sp. MD27		1	1
Ralstonia sp. UNC404CL21Col			1
Ramlibacter tataouinensis	1	1	1
Raoultella ornithinolytica		1	1
Rathayibacter iranicus		1	1
Rathayibacter sp. Leaf296			1
Reyranella massiliensis	1	1	1
Rhizobacter gummiphilus	1	1	1
Rhizobacter sp. OV335	1	1	1
Rhizobacter sp. Root1221	1	1	1
Rhizobacter sp. Root404	1	1	1
Rhizobiales bacterium	1	1	1
Rhizobium etli	1	1	1
Rhizobium gallicum	1	1	1
Rhizobium giardinii			1
Rhizobium jaguaris	1	1	1
Rhizobium leguminosarum	1	1	1
Rhizobium miluonense			1
Rhizobium phaseoli	1	1	1
Rhizobium rhizosphaerae			1
Rhizobium sp. AC27/96			1
Rhizobium sp. ACO-34A			1
Rhizobium sp. CF097	1	1	1
Rhizobium sp. Leaf321		1	
Rhizobium sp. Root1212			1
Rhizobium sp. WW_1			1
Rhizobium sp. YK2		1	1
Rhizobium sp. YS-1r	1	1	1
Rhizobium subbaraonis	1	1	1
Rhizobium sullae	1	1	1
Rhizobium tropici		1	1
Rhizorhabdus dicambivorans	1	1	1
Rhodanobacter denitrificans	1	1	1
Rhodanobacter glycinis	1	1	1
Rhodanobacter sp. OR444	1	1	1
Rhodanobacter sp. OR87	1	1	1
Rhodanobacter sp. OR92	1	1	1
Rhodanobacter sp. Root561	1	1	1
Rhodanobacter sp. Root627	1	1	1
Rhodanobacter sp. Soil772	1	1	1
Rhodobacter capsulatus	1	1	1
Rhodobacter sp. CZR27	1	1	1
Rhodobacter sphaeroides	1	1	1
Rhodobacter vinaykumarii		1	
Rhodobacteraceae bacterium	1	1	1
Rhodobium orientis	1	1	1
Rhodoblastus acidophilus	1	1	1
Rhodoblastus sphagnicola	1	1	1
Rhodococcus erythropolis		1	1
Rhodococcus fascians			1
Rhodococcus hoagii	1	1	1
Rhodococcus opacus	1	1	1
Rhodococcus phenolicus		1	1
Rhodococcus rhodochrous		1	1
Rhodococcus ruber	1	1	1
Rhodococcus sp. UNC363MFTsu5.1	1	1	1
Rhodococcus sp. YH3-3			1
Rhodocyclaceae bacterium Paddy-1	1	1	1
Rhodoferax antarcticus	1	1	1
Rhodoferax ferrireducens	1	1	1
Rhodoferax koreense	1	1	1
Rhodoferax saidenbachensis	1	1	1
Rhodoluna lacicola		1	1
Rhodomicrobium vannielii	1	1	1
Rhodopila globiformis	1	1	1
Rhodoplanes elegans	1	1	1
Rhodoplanes piscinae	1	1	1
Rhodoplanes roseus	1	1	1
Rhodoplanes sp. Z2-YC6860	1	1	1
Rhodopseudomonas faecalis			1
Rhodopseudomonas palustris	1	1	1
Rhodopseudomonas pseudopalustris			1
Rhodopseudomonas sp. B29	1	1	1
Rhodospira trueperi	1	1	1
Rhodospirillaceae bacterium	1	1	1
Rhodospirillales bacterium URHD0017	1	1	1
Rhodospirillales bacterium URHD0088	1	1	1
Rhodospirillum centenum	1	1	1
Rhodospirillum rubrum	1	1	1
Rhodothermaceae bacterium	1	1	1
Rhodothermaceae bacterium RA	1	1	1
Rhodothermus marinus	1	1	1
Rhodothermus profundi	1	1	1
Rhodovibrio salinarum	1	1	1
Rhodovulum sulfidophilum	1	1	1
Roseateles depolymerans	1	1	1
Roseateles sp. YR242	1	1	1
Roseiarcus fermentans	1	1	1
Roseiflexus castenholzii	1	1	1
Roseiflexus sp. RS-1	1	1	1
Roseimicrobium gellanilyticum	1	1	1
Roseivivax marinus	1	1	1
Roseivivax pacificus	1	1	1
Roseivivax roseus	1	1	1
Roseomonas aestuarii	1	1	1
Roseomonas cervicalis	1	1	1
Roseomonas gilardii	1	1	1
Roseomonas rosea	1	1	1
Roseomonas stagni	1	1	1
Roseospirillum parvum	1	1	1
Roseovarius indicus	1	1	1
Roseovarius nanhaiticus	1	1	1
Rothia aeria			1
Rothia mucilaginosa			1
Rubellimicrobium mesophilum	1	1	1
Rubellimicrobium thermophilum	1	1	1
Rubinisphaera brasiliensis	1	1	1
Rubricoccus marinus	1	1	1
Rubritepida flocculans	1	1	1
Rubrivirga marina	1	1	1
Rubrivivax gelatinosus	1	1	1
Rubrobacter aplysinae	1	1	1
Rubrobacter indicoceani	1	1	1
Rubrobacter radiotolerans	1	1	1
Rubrobacter xylanophilus	1	1	1
Rudaea cellulosilytica	1	1	1
Rugamonas rubra	1	1	1
Ruminococcaceae bacterium	1		1
Runella slithyformis			1
Saccharomonospora azurea	1	1	1
Saccharomonospora cyanea	1	1	1
Saccharomonospora glauca	1	1	1
Saccharomonospora halophila	1	1	1
Saccharomonospora marina	1	1	1
Saccharomonospora paurometabolica		1	
Saccharomonospora saliphila	1	1	1
Saccharomonospora sp. LRS4.154	1	1	1
Saccharomonospora xinjiangensis	1	1	1
Saccharopolyspora antimicrobica	1	1	1
Saccharopolyspora erythraea	1	1	1
Saccharopolyspora flava	1	1	1
Saccharopolyspora shandongensis	1	1	1
Saccharopolyspora spinosa	1	1	1
Saccharothrix espanaensis	1	1	1
Saccharothrix sp. CB00851	1	1	1
Sagittula sp. P11	1	1	1
Salinarimonas rosea	1	1	1
Salinibacter ruber	1	1	1
Salinicola acroporae	1	1	1
Salinicola halophilus	1	1	1
Salinicola lusitanus		1	1
Salinicola peritrichatus	1	1	1
Salinicola salarius	1	1	1
Salinicola sp. CPA62	1	1	1
Salinicola sp. CR45	1	1	1
Salinicola tamaricis	1	1	1
Salinispora arenicola	1	1	1
Salinispora pacifica	1	1	1
Salipiger bermudensis	1	1	1
Salipiger mucosus	1	1	1
Salipiger profundus	1	1	1
Salmonella enterica	1	1	1
Sandaracinus amylolyticus	1	1	1
Sanguibacter keddieii		1	
Schlegelella thermodepolymerans	1	1	1
Schlesneria paludicola	1	1	1
Sciscionella marina	1	1	1
Sciscionella sp. SE31	1	1	1
Sedimenticola selenatireducens	1	1	1
Sedimenticola thiotaurini	1	1	1
Sediminibacterium ginsengisoli	1	1	1
Sediminibacterium salmoneum	1	1	1
Sediminibacterium sp. C3		1	1
Segetibacter koreensis		1	1
Selenomonas bovis	1	1	1
Selenomonas ruminantium	1		
Serinicoccus chungangensis	1	1	1
Serinicoccus hydrothermalis	1	1	1
Serpentinomonas mccroryi	1	1	1
Serpentinomonas raichei		1	
Serratia liquefaciens		1	1
Serratia marcescens	1	1	1
Serratia sp. BW106			1
Shewanella decolorationis		1	1
Shigella flexneri		1	1
Shinella sp. GWS1			1
Shinella sp. HZN7	1	1	1
Shinella sp. SUS2			1
Siccationidurans arizonensis	1	1	1
Sideroxydans lithotrophicus	1	1	1
Silanimonas lenta	1	1	1
Silicimonas algicola	1	1	1
Silvibacterium bohemicum	1	1	1
Simkania negevensis	1	1	1
Simplicispira metamorpha		1	1
Simplicispira suum		1	1
Singulisphaera acidiphila	1	1	1
Sinimarinibacterium flocculans	1	1	1
Sinomonas atrocyanea	1	1	1
Sinomonas mesophila	1	1	1
Sinorhizobium americanum	1	1	1
Sinorhizobium fredii	1	1	1
Sinorhizobium medicae	1	1	1
Sinorhizobium meliloti	1	1	1
Sinorhizobium saheli	1	1	1
Sinorhizobium sp. RAC02	1	1	1
Sinosporangium album	1	1	1
Slackia isoflavoniconvertens		1	
Solemya elarraichensis gill symbiont	1	1	1
Solemya velum gill symbiont	1	1	1
Solimonas aquatica	1	1	1
Solimonas flava	1	1	1
Solimonas soli	1	1	1
Solimonas variicoloris	1	1	1
Solirubrobacter pauli	1	1	1
Solirubrobacter soli	1	1	1
Solirubrobacter sp. URHD0082	1	1	1
Solirubrobacterales bacterium URHD0059	1	1	1
Sorangium cellulosum	1	1	1
Sphaerisporangium album	1	1	1
Sphaerobacter thermophilus	1	1	1
Sphaerotilus hippei	1	1	1
Sphaerotilus natans	1	1	1
Sphingobium baderi		1	1
Sphingobium cloacae		1	1
Sphingobium hydrophobicum		1	1
Sphingobium japonicum		1	1
Sphingobium sp. SYK-6	1	1	1
Sphingobium sp. TCM1			1
Sphingobium sp. TKS	1	1	1
Sphingobium sp. Z007			1
Sphingobium yanoikuyae	1	1	1
Sphingomonas aurantiaca		1	
Sphingomonas echinoides	1	1	1
Sphingomonas faeni		1	
Sphingomonas hengshuiensis	1	1	1
Sphingomonas indica	1	1	1
Sphingomonas jaspsi	1	1	1
Sphingomonas koreensis	1	1	1
Sphingomonas melonis	1	1	1
Sphingomonas panacis	1	1	1
Sphingomonas phyllosphaerae	1	1	1
Sphingomonas sanxanigenens	1	1	1
Sphingomonas sp. Ant20		1	1
Sphingomonas sp. Cra20	1	1	1
Sphingomonas sp. FUKUSWIS1			1
Sphingomonas sp. IBVSS2	1	1	1
Sphingomonas sp. JS21-1	1	1	1
Sphingomonas sp. Leaf10			1
Sphingomonas sp. Leaf208			1
Sphingomonas sp. Leaf230			1
Sphingomonas sp. Leaf25	1	1	1
Sphingomonas sp. Leaf28		1	1
Sphingomonas sp. Leaf29		1	1
Sphingomonas sp. Leaf33	1	1	1
Sphingomonas sp. Leaf38			1
Sphingomonas sp. Leaf412	1	1	1
Sphingomonas sp. LK11		1	1
Sphingomonas sp. LM7	1	1	1
Sphingomonas sp. NFR15	1	1	1
Sphingomonas sp. NIC1		1	1
Sphingomonas sp. OV641	1	1	1
Sphingomonas sp. PAMC 26605	1	1	1
Sphingomonas sp. PAMC 26617	1	1	1
Sphingomonas sp. Root241	1	1	1
Sphingomonas sp. Root710	1	1	1
Sphingomonas sp. TDK1	1	1	1
Sphingomonas sp. TZW2008	1	1	1
Sphingomonas sp. URHD0057	1	1	1
Sphingomonas sp. Y57	1	1	1
Sphingomonas taxi	1	1	1
Sphingomonas wittichii	1	1	1
Sphingopyxis alaskensis	1	1	1
Sphingopyxis bauzanensis		1	
Sphingopyxis fribergensis	1	1	1
Sphingopyxis granuli	1	1	1
Sphingopyxis lindanitolerans		1	
Sphingopyxis macrogoltabida	1	1	1
Sphingopyxis sp. 113P3	1	1	1
Sphingopyxis sp. QXT-31	1	1	1
Sphingopyxis sp. Root1497	1	1	1
Sphingopyxis terrae	1	1	1
Sphingosinicella microcystinivorans	1	1	1
Spiribacter curvatus	1	1	1
Spiribacter salinus	1	1	1
Spirochaeta thermophila	1	1	1
Spirosoma panaciterrae			1
Sporichthya polymorpha	1	1	1
Sporocytophaga myxococcoides		1	1
Stackebrandtia nassauensis	1	1	1
Staphylococcus arlettae			1
Staphylococcus aureus		1	1
Staphylococcus capitis		1	1
Staphylococcus cohnii		1	1
Staphylococcus epidermidis			1
Staphylococcus hominis		1	1
Staphylococcus pettenkoferi			1
Staphylococcus warneri		1	1
Stappia indica	1	1	1
Stappia sp. ES.058	1	1	1
Stappia stellulata	1	1	1
Starkeya novella	1	1	1
Stenotrophomonas acidaminiphila	1	1	1
Stenotrophomonas maltophilia	1	1	1
Stenotrophomonas pavanii			1
Stenotrophomonas rhizophila	1	1	1
Stenotrophomonas sp. CC120223-11			1
Stenotrophomonas sp. HMSC10F07			1
Stenotrophomonas sp. Leaf70	1	1	1
Stenotrophomonas sp. LM091			1
Stenotrophomonas sp. SKA14	1		1
Stenotrophomonas sp. WZN-1			1
Steroidobacter denitrificans	1	1	1
Sterolibacterium denitrificans	1	1	1
Stigmatella aurantiaca	1	1	1
Streptacidiphilus albus	1	1	1
Streptacidiphilus anmyonensis	1	1	1
Streptacidiphilus carbonis	1	1	1
Streptacidiphilus griseoplanus	1	1	1
Streptacidiphilus jiangxiensis	1	1	1
Streptacidiphilus melanogenes	1	1	1
Streptacidiphilus neutrinimicus	1	1	1
Streptococcus parasanguinis		1	1
Streptococcus salivarius		1	
Streptococcus sp. 2_1_36FAA		1	
Streptococcus sp. HMSC072D03	1	1	1
Streptococcus thermophilus		1	
Streptomyces abyssalis	1	1	1
Streptomyces acidiscabies	1	1	1
Streptomyces aidingensis	1	1	1
Streptomyces albidoflavus		1	1
Streptomyces albireticuli	1	1	1
Streptomyces alboverticillatus	1	1	1
Streptomyces albulus	1	1	1
Streptomyces albus	1	1	1
Streptomyces alni	1	1	1
Streptomyces angustmyceticus	1	1	1
Streptomyces antibioticus	1	1	1
Streptomyces atratus	1	1	1
Streptomyces atriruber	1	1	1
Streptomyces aurantiacus	1	1	1
Streptomyces aureus	1	1	1
Streptomyces avermitilis	1	1	1
Streptomyces azureus		1	1
Streptomyces barkulensis	1	1	1
Streptomyces bottropensis		1	1
Streptomyces bungoensis	1	1	1
Streptomyces cacaoi	1	1	1
Streptomyces caeruleatus	1	1	1
Streptomyces canus	1	1	1
Streptomyces carpinensis	1	1	1
Streptomyces cattleya	1	1	1
Streptomyces cinnamoneus	1	1	1
Streptomyces clavuligerus	1	1	1
Streptomyces davaonensis	1	1	1
Streptomyces diastaticus		1	1
Streptomyces diastatochromogenes	1	1	1
Streptomyces dioscori	1	1	1
Streptomyces erythrochromogenes		1	
Streptomyces exfoliatus		1	
Streptomyces glaucescens	1	1	1
Streptomyces glauciniger	1	1	1
Streptomyces globosus	1	1	1
Streptomyces graminilatus		1	1
Streptomyces griseorubens		1	1
Streptomyces griseoruber	1	1	1
Streptomyces guanduensis	1	1	1
Streptomyces harbinensis	1	1	1
Streptomyces himastatinicus	1	1	1
Streptomyces hyaluromycini	1	1	1
Streptomyces hygroscopicus	1	1	1
Streptomyces indicus	1	1	1
Streptomyces iranensis	1	1	1
Streptomyces kasugaensis	1	1	1
Streptomyces katrae	1	1	1
Streptomyces kebangsaanensis	1	1	1
Streptomyces lavendulae	1	1	1
Streptomyces lincolnensis	1	1	1
Streptomyces longwoodensis	1	1	1
Streptomyces lunaelactis	1	1	1
Streptomyces lydicus	1	1	1
Streptomyces mirabilis	1	1	1
Streptomyces niveiscabiei	1	1	1
Streptomyces niveus	1	1	1
Streptomyces noursei	1	1	1
Streptomyces oceani	1	1	1
Streptomyces olivoreticuli	1	1	1
Streptomyces pathocidini	1	1	1
Streptomyces paucisporeus	1	1	1
Streptomyces peucetius	1	1	1
Streptomyces phaeochromogenes	1	1	1
Streptomyces pristinaespiralis	1	1	1
Streptomyces puniciscabiei	1	1	1
Streptomyces purpureus	1	1	1
Streptomyces rhizosphaericus	1	1	1
Streptomyces rimosus		1	1
Streptomyces roseus	1	1	1
Streptomyces rubidus	1	1	1
Streptomyces scabiei	1	1	1
Streptomyces silvensis	1	1	1
Streptomyces sp. 150FB	1	1	1
Streptomyces sp. AcH 505	1	1	1
Streptomyces sp. BoleA5	1	1	1
Streptomyces sp. CB00455	1	1	1
Streptomyces sp. CB01580	1	1	1
Streptomyces sp. CB02009		1	
Streptomyces sp. CB02056	1	1	1
Streptomyces sp. CB02366			1
Streptomyces sp. CB02923	1	1	1
Streptomyces sp. CB03238	1	1	1
Streptomyces sp. CB03911	1	1	1
Streptomyces sp. CC53	1	1	1
Streptomyces sp. CdTB01	1	1	1
Streptomyces sp. cf386		1	
Streptomyces sp. CNH099	1	1	1
Streptomyces sp. CNH287	1	1	1
Streptomyces sp. CNT360	1	1	1
Streptomyces sp. E2N171		1	1
Streptomyces sp. E5N298		1	1
Streptomyces sp. E5N91		1	1
Streptomyces sp. HmicA12	1	1	1
Streptomyces sp. ICBB 8177	1	1	1
Streptomyces sp. IMTB 2501	1	1	1
Streptomyces sp. JV178	1	1	1
Streptomyces sp. LaPpAH-199		1	1
