Species
Immundisolibacter cernigliae
Inquilinus limosus
Insolitispirillum peregrinum
Intrasporangiaceae bacterium URHB0013
Intrasporangium calvum
Isoptericola variabilis
Isosphaera pallida
Janibacter indicus
Janibacter massiliensis
Janibacter sp. HTCC2649
Jannaschia rubra
Janthinobacterium agaricidamnosum
Janthinobacterium lividum
Janthinobacterium sp. 1_2014MBL_MicDiv
Janthinobacterium sp. CG3
Jeongeupia sp. USM3
Jhaorihella thermophila
Jiangella alba
Jiangella alkaliphila
Jiangella gansuensis
Jiangella muralis
Jiangella sp. DSM 45060
Kaistia adipata
Kaistia soli
Kibdelosporangium aridum
Kibdelosporangium phytohabitans
Kibdelosporangium sp. MJ126-NF4
Kineococcus radiotolerans
Kineosporia sp. R_H_3
Kiritimatiella glycovorans
Kitasatospora cheerisanensis
Kitasatospora setae
Kitasatospora sp. CB01950
Kitasatospora sp. MBT63
Kitasatospora sp. MBT66
Kitasatospora sp. MMS16-BH015
Kitasatospora sp. Root107
Kitasatospora sp. SolWspMP-SS2h
Klebsiella pneumoniae
Kocuria sp. UCD-OTCP
Krasilnikoviella flava
Kribbella flavida
Ktedonobacter racemifer
Kushneria aurantia
Kutzneria albida
Kutzneria sp. 744
Lacunisphaera limnophila
Lamprocystis purpurea
Laribacter hongkongensis
Lechevalieria fradiae
Lechevalieria xinjiangensis
Legionella pneumophila
Legionella spiritensis
Leifsonia xyli
Lentzea aerocolonigenes
Lentzea albida
Lentzea flaviverrucosa
Lentzea guizhouensis
Lentzea jiangxiensis
Lentzea kentuckyensis
Lentzea violacea
Lentzea waywayandensis
Leptospira interrogans
Leptothrix cholodnii
Levilinea saccharolytica
Limimaricola cinnabarinus
Limimaricola hongkongensis
Limimonas halophila
Limnochorda pilosa
Limnohabitans sp. 63ED37-2
Limnohabitans sp. Rim47
Longilinea arvoryzae
Longispora albida
Luteibacter rhizovicinus
Luteibacter sp. 22Crub2.1
Luteibacter sp. 329MFSha
Luteibacter sp. UNC138MFCol5.1
Luteibacter sp. UNCMF331Sha3.1
Luteibacter sp. UNCMF366Tsu5.1
Luteimonas abyssi
Luteimonas mephitis
Luteimonas sp. 100111
Luteimonas sp. J29
Luteimonas sp. JM171
Luteipulveratus mongoliensis
Luteitalea pratensis
Lysinimicrobium rhizosphaerae
Lysobacter antibioticus
Lysobacter capsici
Lysobacter defluvii
Lysobacter enzymogenes
Lysobacter gummosus
Lysobacter maris
Lysobacter sp. cf310
Lysobacter sp. Root604
Lysobacter sp. Root667
Lysobacter sp. Root690
Lysobacter sp. URHA0019
Lysobacter sp. yr284
Magnetospirillum gryphiswaldense
Magnetospirillum magneticum
Magnetospirillum marisnigri
Magnetospirillum sp. ME-1
Magnetospirillum sp. XM-1
Maricaulis maris
Marichromatium purpuratum
Marinactinospora thermotolerans
Marinithermus hydrothermalis
Marinobacter hydrocarbonoclasticus
Marinobacter pelagius
Marinobacterium aestuarii
Marinobacterium rhizophilum
Marinovum algicola
Marmoricola ginsengisoli
Marmoricola scoriae
Marmoricola solisilvae
Marmoricola sp. Leaf446
Marmoricola sp. URHB0036
Martelella mediterranea
Massilia alkalitolerans
Massilia armeniaca
Massilia aurea
Massilia namucuonensis
Massilia niastensis
Massilia oculi
Massilia putida
Massilia sp. BSC265
Massilia sp. CF038
Massilia sp. KIM
Massilia sp. NR 4-1
Massilia sp. PDC64
Massilia sp. Root335
Massilia sp. Root351
Massilia sp. Root418
Massilia sp. WG5
Massilia sp. YMA4
Massilia timonae
Massilia violaceinigra
Massilia yuzhufengensis
Meiothermus ruber
Meiothermus silvanus
Meiothermus taiwanensis
Melaminivora alkalimesophila
Melaminivora sp. SC2-9
Melittangium boletus
Mesorhizobium amorphae
Mesorhizobium australicum
Mesorhizobium ciceri
Mesorhizobium erdmanii
Mesorhizobium japonicum
Mesorhizobium loti
Mesorhizobium muleiense
Mesorhizobium oceanicum
Mesorhizobium opportunistum
Mesorhizobium plurifarium
Mesorhizobium prunaredense
Mesorhizobium qingshengii
Mesorhizobium sp. 1M-11
Mesorhizobium sp. ORS 3324
Mesorhizobium sp. ORS 3359
Mesorhizobium sp. Root157
Mesorhizobium sp. Root172
Mesorhizobium sp. Root552
Mesorhizobium sp. SOD10
Mesorhizobium sp. URHA0056
Mesorhizobium sp. URHC0008
Mesorhizobium sp. WSM2561
