Library_ID	Mapped	Non_mapped	Assigned	Non_Assigned
MID065.A0101	6981363	3123564	6979765	1598
MID066.A0101	4760837	4408156	4757065	3772
MID067.A0101	4484496	4944086	4482822	1674
MID068.A0101	3725284	3133055	3723175	2109
MID068.B0101	3189075	2269121	3187800	1275
MID070.A0101	5278832	4806646	5273969	4863
MID071.A0101	6358343	3763387	6355460	2883
MID072.A0101	4673351	5816496	4671713	1638
MID073.A0101	6168258	5822998	6163881	4377
MID074.A0101	2006741	1901654	2005993	748
MID075.A0101	1414909	3275612	1413282	1627
MID076.A0101	3020625	5256696	3017737	2888
MID077.A0101	7478602	4861242	7476209	2393
MID078.A0101	4284219	3296946	4282621	1598
MID079.A0101	7110189	2796698	7109128	1061
MID080.A0101	2927306	1291776	2926206	1100
MID081.A0101	4517393	5450082	4514693	2700
MID082.A0101	4461028	6717319	4458422	2606
MID083.A0101	5801134	4365455	5798673	2461
MID084.A0101	6193736	6971536	6188550	5186
MID085.A0101	7290078	6477484	7285820	4258
MID086.A0101	2086697	2022562	2085748	949
MID087.A0101	5483100	2777579	5481613	1487
MID088.A0101	5623080	6392524	5617602	5478
MID089.A0101	4459507	4853457	4457477	2030
MID090.A0101	2981498	1052366	2980848	650
MID091.A0101	7233775	6424190	7230507	3268
MID092.A0101	3556683	7218121	3553782	2901
MID093.A0101	6883331	6942620	6880072	3259
MID094.A0101	7832449	4224318	7829958	2491
MID097.A0101	4485595	6054281	4480778	4817
MID101.A0101	6311306	3465689	6309116	2190
MID102.A0101	5512120	4498503	5510146	1974
SRR6877282	6675981	4470762	6673748	2233
SRR6877284	8969536	15274949	8961471	8065
SRR6877286	4087660	4589797	4085488	2172
SRR6877288	4555437	6800352	4553162	2275
SRR6877290	5322941	4229446	5320661	2280
SRR6877292	5280131	10132383	5277140	2991
SRR6877310	3439483	2895810	3438141	1342
SRR6877312	2964400	3156056	2963014	1386
SRR6877323	4200225	7725286	4197527	2698
SRR6877324	5298488	3514848	5296867	1621
SRR6877326	3007030	4161100	3004362	2668
SRR6877393	4205827	3576400	4202261	3566
ELR003.A0101	2897830	5889521	2897830	5889521
ELR004.A0101	2718770	2374479	2718770	2374479
ELR006.A0101	6909720	7958833	6909720	7958833
ELR008.A0101	7059486	9276743	7059486	9276743
ELR010.A0101	3353896	9391124	3353896	9391124
IVE002.B0101	7746319	6252288	7746319	6252288
IVE003.A0101	3876637	4833915	3876637	4833915
IVE005.A0101	4264899	4325698	4264899	4325698
IVE005.B0101	8611477	6743369	8611477	6743369
IVE007.B0101	6744559	7922500	6744559	7922500
GOY005.A0103.SG1	1195255	2285724	1195255	2285724
GOY006.A0102.SG1	11700242	26387314	11700242	26387314
LIS002.A0101.SG1	4721727	6792039	4721727	6792039
KT01calc	5959088	4592219	5959088	4592219
KT02calc	1878047	2033963	1878047	2033963
KT03calc	2258546	1665956	2258546	1665956
KT04calc	2149957	2331730	2149957	2331730
KT05calc	2167538	2276493	2167538	2276493
KT06calc	2050974	3746486	2050974	3746486
KT07calc	2591839	2619164	2591839	2619164
KT08calc	3447964	1099348	3447964	1099348
KT09calc	1463521	3166266	1463521	3166266
